t (min),CA0,CA1,CB1,CA2,CB2,error
0,20,0,0,0,0,-
0.5,20,2.0,0.0,0.0,0.0,-
1.0,20,3.68,0.12,0.2,0.0,-
1.5,20,5.091200000000001,0.3288,0.536,0.024,100.0
2.0,20,6.276608,0.6013919999999999,0.9593600000000002,0.08664,72.29916897506926
2.5,20,7.27235072,0.91784928,1.4335232000000002,0.19567679999999998,55.72290634352156
3.0,20,8.1087746048,1.2624053952,1.9313945600000002,0.35390544,44.70929861942784
3.5,20,8.811370668032001,1.622691331968,2.4332488908800003,0.56063910912,36.874642841898215
4.0,20,9.40155136114688,1.9891044388531203,2.9250661351424005,0.8128392648576,31.027063607930227
4.5,20,9.89730314336338,2.354287076636621,3.3972106896343046,1.1059697503656962,26.5043854419319
5.0,20,10.31373464042524,2.7126965575747617,3.8433872936291538,1.434634124370847,22.909281775887294
5.5,20,10.663537097957201,3.0602509802427997,4.259818790691013,1.7930436053089878,19.988888160719192
6.0,20,10.95737116228405,3.394038108095952,4.644601493976172,2.17535347024383,17.574608915947348
6.5,20,11.204191776318602,3.7120765670233995,4.997202371168389,2.5758980236676123,15.549705374340848
7.0,20,11.411521092107625,4.0131204169001755,5.318069169413307,2.9893480202732943,13.830774931581344
7.5,20,11.585677717370405,4.296499640736616,5.6083302115179405,3.410809410100781,12.356638532172735
8.0,20,11.731969282591141,4.561990339705178,5.869565149412111,3.835878245855441,11.081395407008424
8.5,20,11.854854197376559,4.809709462690129,6.103631653765287,4.260663364205142,9.969929141044624
9.0,20,11.958077525796309,5.040029768263709,6.312536008900497,4.681785873279558,8.994911780948723
9.5,20,12.0447851216689,5.253511442985117,6.498338000056048,5.096362423312002,8.134754077458673
10.0,20,12.117619502201876,5.450847405986739,6.663082432213971,5.5019776052826765,7.372170718783483
10.5,20,12.178800381849577,5.632819835520177,6.808751193279923,5.896649531285921,6.693155560784632
11.0,20,12.230192320753645,5.800265874879134,6.937231040540093,6.278791633306142,6.086236402449321
11.5,20,12.273361549433062,5.954050826636439,7.050293306129042,6.647172919895847,5.541924228976989
12.0,20,12.309623701523773,6.095047436938779,7.149582532091702,7.000878308937649,5.052300203393697
12.5,20,12.340083909279969,6.224120115336327,7.2366116971094065,7.339270173663264,4.610701837083524
13.0,20,12.365670483795174,6.342113138359492,7.312762216499898,7.661951869657135,4.211481636575596
13.5,20,12.387163206387946,6.4498420535512535,7.379287310239432,7.968733729517364,3.8498194352242434
14.0,20,12.405217093365875,6.548087640579405,7.437317661239917,8.259601800535119,3.5215749868100215
14.5,20,12.420382358427336,6.637591902123417,7.487868544778118,8.534689444213942,3.2231711004472197
15.0,20,12.433121181078961,6.719055653416715,7.531847813456353,8.794251802691576,2.951500187863534
15.5,20,12.443821792106327,6.793137358939782,7.570064281411232,9.038643056571471,2.703848933410557
16.0,20,12.452810305369315,6.860452930572183,7.603236175596068,9.268296343692976,2.477837119200251
16.5,20,12.460360656510225,6.921576255837124,7.631999418037629,9.48370617291666,2.2713675992920024
17.0,20,12.466702951468589,6.977040269644025,7.656915576802631,9.685413146290964,2.082585123914382
17.5,20,12.472030479233615,7.027338419767737,7.678479379661069,9.873990793234428,1.9098422400056956
18.0,20,12.476505602556237,7.072926406544981,7.697125726838659,10.050034318667423,1.7516708883869483
18.5,20,12.480264706147238,7.114224102043857,7.713236170800098,10.214151071065498,1.6067586161221177
19.0,20,12.48342235316368,7.151617574208306,7.727144854086806,10.366952544411339,1.4739285502779098
19.5,20,12.486074776657492,7.185461157977295,7.7391439127492845,10.509047738636244,1.3521224544684145
20.0,20,12.488302812392293,7.216079528779016,7.749488364375148,10.641037715335306,1.2403863253754372
20.5,20,12.490174362409526,7.243769744644652,7.758400507314354,10.763511198542187,1.137858092473281
21.0,20,12.491746464424002,7.268803231924759,7.76607386238501,10.877041083591294,1.0437570675390255
21.5,20,12.493067030116162,7.291427696597723,7.772676690845809,10.98218173016774,0.9573748564698016
22.0,20,12.494176305297575,7.31186894874492,7.778355123322095,11.079466928261487,0.8780674984063727
22.5,20,12.495108096449963,7.3303326321882825,7.7832359341203174,11.169408437709157,0.8052486391671108
23.0,20,12.49589080101797,7.347005854756452,7.787428994306063,11.252495013204289,0.7383835797983818
23.5,20,12.496548272855094,7.362058717341885,7.791029435318889,11.329191837017868,0.6769840683867154
24.0,20,12.49710054919828,7.375645741979002,7.794119552953377,11.399940291169402,0.6206037254979064
24.5,20,12.497564461326554,7.3879072007329984,7.7967704794006645,11.465158009427565,0.5688340117470305
25.0,20,12.497954147514307,7.398970348339292,7.799043648829214,11.525239157322149,0.5213006608753411
25.5,20,12.498281483912017,7.408950562356221,7.80099207976797,11.580554895353616,0.4776605139505122
26.0,20,12.498556446486095,7.41795239515532,7.802661495396297,11.631453986839954,0.43759870041979326
